date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:28:22	24614/24614	---M-Z	200	added ('OK')	text/html	etag:%226a57762e58245c3ae87ebcebdb9952ce%22	https://signal.org/en/	C:/My%20Web%20Sites/Bitorzo/signal.org/en/index.html	(from )
18:28:22	345/345	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Mar%202021%2015:28:56%20GMT	https://signal.org/robots.txt		(from )
18:28:22	24614/24614	---M-Z	200	added ('OK')	text/html	etag:%226a57762e58245c3ae87ebcebdb9952ce%22	https://signal.org/en/index.html	C:/My%20Web%20Sites/Bitorzo/signal.org/en/index-2.html	(from https://signal.org/en/)
18:28:22	20091/20091	---M--	200	added ('OK')	image/png	etag:%225697985dd806f72dccf87fc598b267cd%22	https://signal.org/assets/og/og-image-ff2096df535eee499356de64b19fa8cebb9681ab1e78cca7330e7f8b8d5ec6d5.png	C:/My%20Web%20Sites/Bitorzo/signal.org/assets/og/og-image-ff2096df535eee499356de64b19fa8cebb9681ab1e78cca7330e7f8b8d5ec6d5.png	(from https://signal.org/en/)
18:28:23	4821/4821	---M--	200	added ('OK')	image/png	etag:%22e3f4a39dfdf8813c1c2d9a0a80958c84%22	https://signal.org/assets/favicon/apple-icon-57x57-1e56b07703490ebba4713a0b5ea25a03ae8d86eabc4a961158edf5b46590fd3d.png	C:/My%20Web%20Sites/Bitorzo/signal.org/assets/favicon/apple-icon-57x57-1e56b07703490ebba4713a0b5ea25a03ae8d86eabc4a961158edf5b46590fd3d.png	(from https://signal.org/en/)
18:28:23	5045/5045	---M--	200	added ('OK')	image/png	etag:%2254732c22e74bb7030765b20b23422de9%22	https://signal.org/assets/favicon/apple-icon-60x60-e2db2d0761f2007f5d2b1f9594a5caa49705c1221ced2472a2e471e0c53ed3fa.png	C:/My%20Web%20Sites/Bitorzo/signal.org/assets/favicon/apple-icon-60x60-e2db2d0761f2007f5d2b1f9594a5caa49705c1221ced2472a2e471e0c53ed3fa.png	(from https://signal.org/en/)
18:28:23	6003/6003	---M--	200	added ('OK')	image/png	etag:%22dce29979f2bf1b2b4168b7531fa290c7%22	https://signal.org/assets/favicon/apple-icon-72x72-97b53da0f83cc83e78f550a175abc7655b655a4ff6f8969616ccf6a45431f823.png	C:/My%20Web%20Sites/Bitorzo/signal.org/assets/favicon/apple-icon-72x72-97b53da0f83cc83e78f550a175abc7655b655a4ff6f8969616ccf6a45431f823.png	(from https://signal.org/en/)
18:28:23	5757/5757	---M--	200	added ('OK')	image/png	etag:%223ec78938197e893f6ece141fc601923a%22	https://signal.org/assets/favicon/apple-icon-76x76-9f2b2add20d8060fab5bda1a4fc4dbc23330e56b6ce846dc71af34b643b44294.png	C:/My%20Web%20Sites/Bitorzo/signal.org/assets/favicon/apple-icon-76x76-9f2b2add20d8060fab5bda1a4fc4dbc23330e56b6ce846dc71af34b643b44294.png	(from https://signal.org/en/)
18:28:24	9211/9211	---M--	200	added ('OK')	image/png	etag:%22da7ee8a999758c461112804a29602c94%22	https://signal.org/assets/favicon/apple-icon-114x114-f6319e407b9c5379fbb0753dbf272e8d3b24a0c2e107d3c971fa173f861580bc.png	C:/My%20Web%20Sites/Bitorzo/signal.org/assets/favicon/apple-icon-114x114-f6319e407b9c5379fbb0753dbf272e8d3b24a0c2e107d3c971fa173f861580bc.png	(from https://signal.org/en/)
18:28:24	9204/9204	---M--	200	added ('OK')	image/png	etag:%22be339840f64653a266422371e458f4f3%22	https://signal.org/assets/favicon/apple-icon-120x120-c98504fda21e8555d8c527f46d170b182630953915e3f35e6be58ad7c2ba2016.png	C:/My%20Web%20Sites/Bitorzo/signal.org/assets/favicon/apple-icon-120x120-c98504fda21e8555d8c527f46d170b182630953915e3f35e6be58ad7c2ba2016.png	(from https://signal.org/en/)
18:28:24	10828/10828	---M--	200	added ('OK')	image/png	etag:%2275bffd3a45eb63672213da1b4720b6bf%22	https://signal.org/assets/favicon/apple-icon-144x144-6673d278a3a610c29c506b94db1c39dbaed7316a3daa8dfa84b115d9a17a3be1.png	C:/My%20Web%20Sites/Bitorzo/signal.org/assets/favicon/apple-icon-144x144-6673d278a3a610c29c506b94db1c39dbaed7316a3daa8dfa84b115d9a17a3be1.png	(from https://signal.org/en/)
18:28:24	12277/12277	---M--	200	added ('OK')	image/png	etag:%22f7f731d6029a1ef12d96518139f6cbb7%22	https://signal.org/assets/favicon/apple-icon-152x152-8d0419698314ff17820aa277bc5c56df4048fff96b89d021c5e3240c804c008d.png	C:/My%20Web%20Sites/Bitorzo/signal.org/assets/favicon/apple-icon-152x152-8d0419698314ff17820aa277bc5c56df4048fff96b89d021c5e3240c804c008d.png	(from https://signal.org/en/)
18:28:25	11761/11761	---M--	200	added ('OK')	image/png	etag:%224b93aab0959c25b92bee54d379d13e87%22	https://signal.org/assets/favicon/apple-icon-180x180-aa2761b8418076157d993fa209969b64f3ef435dcbefb20e7f9b4ad03e6e76bd.png	C:/My%20Web%20Sites/Bitorzo/signal.org/assets/favicon/apple-icon-180x180-aa2761b8418076157d993fa209969b64f3ef435dcbefb20e7f9b4ad03e6e76bd.png	(from https://signal.org/en/)
18:28:25	13815/13815	---M--	200	added ('OK')	image/png	etag:%22b3bcf8e471f8936f62bc3ba1aa4029ea%22	https://signal.org/assets/favicon/android-icon-192x192-2ce7be93a7e75de13098e18298fcb8910772ec2e035cea23f3c2ad438ff8e504.png	C:/My%20Web%20Sites/Bitorzo/signal.org/assets/favicon/android-icon-192x192-2ce7be93a7e75de13098e18298fcb8910772ec2e035cea23f3c2ad438ff8e504.png	(from https://signal.org/en/)
18:28:25	1795/1795	---M--	200	added ('OK')	image/png	etag:%2246896714d81f6ab9eb08ad5e61792274%22	https://signal.org/assets/favicon/favicon-32x32-382989a29cc9004cc5b4b723098a5663f944b48d4694df252b89caa831fa205f.png	C:/My%20Web%20Sites/Bitorzo/signal.org/assets/favicon/favicon-32x32-382989a29cc9004cc5b4b723098a5663f944b48d4694df252b89caa831fa205f.png	(from https://signal.org/en/)
18:28:25	11141/11141	---M--	200	added ('OK')	image/png	etag:%227ef827ddf3c9969246f15fcc809f112f%22	https://signal.org/assets/favicon/favicon-96x96-aa38de7ff5098e6c9a3a41bd2424266d64b0200d347d682292c01a1d6d402660.png	C:/My%20Web%20Sites/Bitorzo/signal.org/assets/favicon/favicon-96x96-aa38de7ff5098e6c9a3a41bd2424266d64b0200d347d682292c01a1d6d402660.png	(from https://signal.org/en/)
18:28:25	1769/1769	---M--	200	added ('OK')	image/png	etag:%22bd16a03e96d7021fa58a652099e16465%22	https://signal.org/assets/favicon/favicon-16x16-c6d9330e8b333a3ff4dd7d9ccbfccbb22265db57ba79fd8d3f9a31a90e7d4857.png	C:/My%20Web%20Sites/Bitorzo/signal.org/assets/favicon/favicon-16x16-c6d9330e8b333a3ff4dd7d9ccbfccbb22265db57ba79fd8d3f9a31a90e7d4857.png	(from https://signal.org/en/)
18:28:26	15977/15977	---M--	200	added ('OK')	image/png	etag:%2203eeb307d771a6c5c4f7fdbdb953f54a%22	https://signal.org/assets/favicon/ms-icon-144x144-c87fa9bc9f7648a5dc55c8bb767caa2c9f3ff5d13dbdce9eb82e75e14ebe41d9.png	C:/My%20Web%20Sites/Bitorzo/signal.org/assets/favicon/ms-icon-144x144-c87fa9bc9f7648a5dc55c8bb767caa2c9f3ff5d13dbdce9eb82e75e14ebe41d9.png	(from https://signal.org/en/)
18:28:26	195439/195439	---M-Z	200	added ('OK')	text/css	etag:%22ade9eaadbe78d10289d29d9ca54e4dfa%22	https://signal.org/assets/vendor/bulma-0.8.0.min-ccf7949cbe2c285e72f3a5c936d8abba9270e77d27b2529804ff4738dda4944e.css	C:/My%20Web%20Sites/Bitorzo/signal.org/assets/vendor/bulma-0.8.0.min-ccf7949cbe2c285e72f3a5c936d8abba9270e77d27b2529804ff4738dda4944e.css	(from https://signal.org/en/)
18:28:26	11251/11251	---M-Z	200	added ('OK')	text/css	etag:%22cca14eace35f366e5dbca3dce73492fe%22	https://signal.org/assets/ultramarine-2d3e2ef7de47ff3ba794c3a067b81b75f33f4fb952fff0a4c9c52cd5f1535c26.css	C:/My%20Web%20Sites/Bitorzo/signal.org/assets/ultramarine-2d3e2ef7de47ff3ba794c3a067b81b75f33f4fb952fff0a4c9c52cd5f1535c26.css	(from https://signal.org/en/)
18:28:26	11489/11489	---M--	200	added ('OK')	image/png	etag:%22f6cc5076b3d342f8bf3da88685e306c5%22	https://signal.org/assets/header/logo-f7ef605fe417d5520d38d546b3b774b4261c75220b9904da4d8b2ffc19a761ff.png	C:/My%20Web%20Sites/Bitorzo/signal.org/assets/header/logo-f7ef605fe417d5520d38d546b3b774b4261c75220b9904da4d8b2ffc19a761ff.png	(from https://signal.org/en/)
18:28:26	66663/66663	---M--	200	added ('OK')	image/png	etag:%22f6482a4e29621d1e1ffcce9ddf5b2ae4%22	https://signal.org/assets/features/iphone-screenshot-light-a105c976107baef33fe8d3ae6f38cdd691ba6834fbc80d63a6eefb318a7a3b83.png	C:/My%20Web%20Sites/Bitorzo/signal.org/assets/features/iphone-screenshot-light-a105c976107baef33fe8d3ae6f38cdd691ba6834fbc80d63a6eefb318a7a3b83.png	(from https://signal.org/en/)
18:28:27	34833/34833	---M--	200	added ('OK')	image/png	etag:%22db8c9e6862aa4c0f1e263eedc500a495%22	https://signal.org/assets/features/pixel-screenshot-light-886fde7f302b53617c53b65449dbcd938463aacf95f46c15ef6e204c2b568140.png	C:/My%20Web%20Sites/Bitorzo/signal.org/assets/features/pixel-screenshot-light-886fde7f302b53617c53b65449dbcd938463aacf95f46c15ef6e204c2b568140.png	(from https://signal.org/en/)
18:28:27	3706/3706	---M--	200	added ('OK')	image/jpeg	etag:%2251d2361e1f941e82e85d876aa86119d1%22	https://signal.org/assets/testimonials/snowden-e54d914f15e0becb358d375451978bbb5a307d12a6b91b49cdc1031fd062a0b8.jpg	C:/My%20Web%20Sites/Bitorzo/signal.org/assets/testimonials/snowden-e54d914f15e0becb358d375451978bbb5a307d12a6b91b49cdc1031fd062a0b8.jpg	(from https://signal.org/en/)
18:28:27	11975/11975	---M--	200	added ('OK')	image/jpeg	etag:%227d59e6efcd534445291656620282ee94%22	https://signal.org/assets/testimonials/dorsey-f2c53cc9287633aac7c8ccfbc2a97902ae3b78edc409073a968e7090240cd593.jpg	C:/My%20Web%20Sites/Bitorzo/signal.org/assets/testimonials/dorsey-f2c53cc9287633aac7c8ccfbc2a97902ae3b78edc409073a968e7090240cd593.jpg	(from https://signal.org/en/)
